"","sample","probe","value","type"
"1","TCGA-OR-A5J1-01","StromalScore.estimate",-1161.65479342767,"estimate"
"2","TCGA-OR-A5J1-01","ImmuneScore.estimate",-524.462484260134,"estimate"
"3","TCGA-OR-A5J1-01","ESTIMATEScore.estimate",-1686.1172776878,"estimate"
"4","TCGA-OR-A5J2-01","StromalScore.estimate",-568.372344687272,"estimate"
"5","TCGA-OR-A5J2-01","ImmuneScore.estimate",-765.443923729633,"estimate"
"6","TCGA-OR-A5J2-01","ESTIMATEScore.estimate",-1333.81626841691,"estimate"
"7","TCGA-OR-A5J3-01","StromalScore.estimate",-1295.04138735404,"estimate"
"8","TCGA-OR-A5J3-01","ImmuneScore.estimate",-1070.35850730293,"estimate"
"9","TCGA-OR-A5J3-01","ESTIMATEScore.estimate",-2365.39989465698,"estimate"
"10","TCGA-OR-A5J5-01","StromalScore.estimate",-1710.155072494,"estimate"
"11","TCGA-OR-A5J5-01","ImmuneScore.estimate",-918.663745233053,"estimate"
"12","TCGA-OR-A5J5-01","ESTIMATEScore.estimate",-2628.81881772705,"estimate"
"13","TCGA-OR-A5J6-01","StromalScore.estimate",-730.221004744499,"estimate"
"14","TCGA-OR-A5J6-01","ImmuneScore.estimate",64.4732096081259,"estimate"
"15","TCGA-OR-A5J6-01","ESTIMATEScore.estimate",-665.747795136373,"estimate"
"16","TCGA-OR-A5J7-01","StromalScore.estimate",-1190.77665097815,"estimate"
"17","TCGA-OR-A5J7-01","ImmuneScore.estimate",-1012.87098453197,"estimate"
"18","TCGA-OR-A5J7-01","ESTIMATEScore.estimate",-2203.64763551012,"estimate"
"19","TCGA-OR-A5J8-01","StromalScore.estimate",1519.92581869625,"estimate"
"20","TCGA-OR-A5J8-01","ImmuneScore.estimate",1578.45337340615,"estimate"
"21","TCGA-OR-A5J8-01","ESTIMATEScore.estimate",3098.3791921024,"estimate"
"22","TCGA-OR-A5J9-01","StromalScore.estimate",-1008.49161847719,"estimate"
"23","TCGA-OR-A5J9-01","ImmuneScore.estimate",-952.394403314789,"estimate"
"24","TCGA-OR-A5J9-01","ESTIMATEScore.estimate",-1960.88602179198,"estimate"
"25","TCGA-OR-A5JA-01","StromalScore.estimate",-1429.53446735273,"estimate"
"26","TCGA-OR-A5JA-01","ImmuneScore.estimate",-681.531353901043,"estimate"
"27","TCGA-OR-A5JA-01","ESTIMATEScore.estimate",-2111.06582125377,"estimate"
"28","TCGA-OR-A5JB-01","StromalScore.estimate",-676.086040181243,"estimate"
"29","TCGA-OR-A5JB-01","ImmuneScore.estimate",1339.61629615461,"estimate"
"30","TCGA-OR-A5JB-01","ESTIMATEScore.estimate",663.530255973366,"estimate"
"31","TCGA-OR-A5JC-01","StromalScore.estimate",-925.705482661623,"estimate"
"32","TCGA-OR-A5JC-01","ImmuneScore.estimate",-568.592541100113,"estimate"
"33","TCGA-OR-A5JC-01","ESTIMATEScore.estimate",-1494.29802376174,"estimate"
"34","TCGA-OR-A5JD-01","StromalScore.estimate",-827.405289379171,"estimate"
"35","TCGA-OR-A5JD-01","ImmuneScore.estimate",100.056428540621,"estimate"
"36","TCGA-OR-A5JD-01","ESTIMATEScore.estimate",-727.34886083855,"estimate"
"37","TCGA-OR-A5JE-01","StromalScore.estimate",-948.999985923993,"estimate"
"38","TCGA-OR-A5JE-01","ImmuneScore.estimate",-386.555534260337,"estimate"
"39","TCGA-OR-A5JE-01","ESTIMATEScore.estimate",-1335.55552018433,"estimate"
"40","TCGA-OR-A5JF-01","StromalScore.estimate",-1032.49198303672,"estimate"
"41","TCGA-OR-A5JF-01","ImmuneScore.estimate",-1086.83757503784,"estimate"
"42","TCGA-OR-A5JF-01","ESTIMATEScore.estimate",-2119.32955807456,"estimate"
"43","TCGA-OR-A5JG-01","StromalScore.estimate",-949.475894513786,"estimate"
"44","TCGA-OR-A5JG-01","ImmuneScore.estimate",-690.089575601493,"estimate"
